Month,Day,Age of Moon,Rise,Culm,Set
1,1,25 days,9:16,13:47,18:18
2,1,26 days,9:00,13:57,18:55
3,1,25 days,8:21,13:56,19:32
4,1,26 days,7:26,13:48,20:09
5,1,26 days,6:37,13:41,20:44
6,1,28 days,6:07,13:41,21:16
7,1,28 days,6:07,13:47,21:28
8,1,30 days,6:34,13:50,21:07
9,1,02 days,7:07,13:44,20:20
10,1,03 days,7:41,13:33,19:26
11,1,04 days,8:18,13:27,18:36
12,1,05 days,8:56,13:33,18:10
1,1,06 days,9:16,13:47,18:18
2,1,08 days,9:00,13:57,18:54
3,1,07 days,8:19,13:56,19:33
4,1,08 days,7:25,13:47,20:10
5,1,08 days,6:36,13:41,20:45
6,1,10 days,6:06,13:42,21:17
7,1,10 days,6:08,13:48,21:28
8,1,12 days,6:34,13:50,21:06
9,1,13 days,7:08,13:43,20:19
10,1,14 days,7:41,13:33,19:25
11,1,16 days,8:19,13:27,18:35
12,1,16 days,8:56,13:33,18:09
1,1,18 days,9:16,13:47,18:19
