,stop_id,stop_cause,service_area,subject_race,subject_sex,subject_age,date_stop,time_stop,arrested,searched,obtained_consent,contraband_found,property_seized,is_in_twilight,Month,Sunset,Dark
0,1444851,Moving Violation,510,Black/African American,Male,38.0,2017-01-01,2020-03-17 17:12:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
1,1444854,Equipment Violation,110,White,Female,60.0,2017-01-01,2020-03-17 17:14:00,Y,Y,,N,N,True,1,2020-03-17 18:18:00,False
2,1444852,Equipment Violation,440,Black/African American,Male,28.0,2017-01-01,2020-03-17 17:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
3,1444899,Radio Call/Citizen Contact,120,White,Male,57.0,2017-01-01,2020-03-17 17:35:00,Y,Y,N,N,Y,True,1,2020-03-17 18:18:00,False
4,1444881,Moving Violation,710,White,Male,42.0,2017-01-01,2020-03-17 17:57:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
5,1444882,Moving Violation,710,Hispanic/Latino/a,Female,66.0,2017-01-01,2020-03-17 18:03:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
6,1444857,Equipment Violation,110,Hispanic/Latino/a,Male,32.0,2017-01-01,2020-03-17 18:07:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
7,1444883,Moving Violation,710,Hispanic/Latino/a,Male,21.0,2017-01-01,2020-03-17 18:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
8,1444859,Moving Violation,930,Other,Male,58.0,2017-01-01,2020-03-17 18:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
9,1444884,Moving Violation,710,Hispanic/Latino/a,Female,45.0,2017-01-01,2020-03-17 18:18:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
10,1444855,Equipment Violation,930,White,Male,55.0,2017-01-01,2020-03-17 18:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
11,1444856,Moving Violation,240,White,Female,24.0,2017-01-01,2020-03-17 18:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
12,1444860,Moving Violation,930,White,Male,45.0,2017-01-01,2020-03-17 18:25:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
13,1444861,Equipment Violation,720,Hispanic/Latino/a,Female,19.0,2017-01-01,2020-03-17 18:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
14,1444862,Moving Violation,520,White,Male,22.0,2017-01-01,2020-03-17 18:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
15,1444886,Moving Violation,710,Hispanic/Latino/a,Male,57.0,2017-01-01,2020-03-17 18:42:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
16,1444887,Moving Violation,710,Hispanic/Latino/a,Male,49.0,2017-01-01,2020-03-17 18:47:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
17,1444864,Moving Violation,110,Hispanic/Latino/a,Male,28.0,2017-01-01,2020-03-17 18:47:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
18,1444863,Moving Violation,310,Hispanic/Latino/a,Male,43.0,2017-01-01,2020-03-17 18:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
19,1444888,Moving Violation,710,Hispanic/Latino/a,Female,67.0,2017-01-01,2020-03-17 18:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
20,1444869,Moving Violation,620,White,Male,31.0,2017-01-01,2020-03-17 19:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
21,1444871,Equipment Violation,310,Other,Male,32.0,2017-01-01,2020-03-17 19:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
22,1444867,Equipment Violation,120,White,Male,24.0,2017-01-01,2020-03-17 19:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
23,1444865,Moving Violation,930,White,Female,66.0,2017-01-01,2020-03-17 19:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
24,1444866,Equipment Violation,720,White,Female,29.0,2017-01-01,2020-03-17 19:24:00,N,Y,,N,N,True,1,2020-03-17 18:18:00,True
25,1444868,Equipment Violation,810,White,Male,53.0,2017-01-01,2020-03-17 19:29:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
26,1444870,Equipment Violation,310,Black/African American,Female,48.0,2017-01-01,2020-03-17 19:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
27,1444872,Equipment Violation,110,White,Female,16.0,2017-01-01,2020-03-17 19:57:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
28,1444873,Equipment Violation,520,Black/African American,Male,28.0,2017-01-01,2020-03-17 20:00:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
29,1444874,Moving Violation,510,White,Male,34.0,2017-01-01,2020-03-17 20:20:00,N,N,N,N,N,True,1,2020-03-17 18:18:00,True
30,1444875,Moving Violation,520,Black/African American,Male,30.0,2017-01-01,2020-03-17 20:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
31,1445008,Moving Violation,710,Hispanic/Latino/a,Male,41.0,2017-01-02,2020-03-17 17:12:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
32,1445012,Moving Violation,240,Asian,Male,44.0,2017-01-02,2020-03-17 17:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
33,1444997,Equipment Violation,430,Hispanic/Latino/a,Male,32.0,2017-01-02,2020-03-17 17:39:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
34,1445065,Moving Violation,240,White,Male,26.0,2017-01-02,2020-03-17 17:40:00,N,Y,N,N,N,True,1,2020-03-17 18:18:00,False
35,1445017,Moving Violation,710,Hispanic/Latino/a,Male,31.0,2017-01-02,2020-03-17 17:44:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
36,1445033,Moving Violation,620,Hispanic/Latino/a,Male,24.0,2017-01-02,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
37,1445013,Equipment Violation,430,Black/African American,Female,68.0,2017-01-02,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
38,1445014,Equipment Violation,430,Black/African American,Female,43.0,2017-01-02,2020-03-17 17:48:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
39,1445015,Moving Violation,810,Hispanic/Latino/a,Male,25.0,2017-01-02,2020-03-17 17:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
40,1445018,Moving Violation,710,Hispanic/Latino/a,Male,39.0,2017-01-02,2020-03-17 17:55:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
41,1445019,Moving Violation,710,Hispanic/Latino/a,Male,20.0,2017-01-02,2020-03-17 18:00:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
